Namespace,Operator,Notes
aten,_log_softmax,
aten,_native_batch_norm_legit_no_training,
aten,_softmax,
aten,_to_copy,dtype conversion between float types only
aten,_weight_int8pack_mm,
aten,abs,
aten,add,
aten,addmm,
aten,amax,keepdim=True required; max 2D reductions
aten,amin,keepdim=True required; max 2D reductions
aten,arange,
aten,avg_pool2d,
aten,bmm,
aten,cat,
aten,clamp,
aten,clone,
aten,constant_pad_nd,
aten,convolution,batch=1 for 2D conv; no transposed 1D conv; no 3D conv
aten,cos,
aten,div,
aten,div.Tensor_mode,
aten,embedding,
aten,eq,
aten,exp,
aten,expand_copy,no resize support
aten,flip,
aten,full,
aten,full_like,
aten,ge,
aten,gelu,
aten,gt,
aten,hardshrink,
aten,hardtanh,
aten,index_select,
aten,le,
aten,leaky_relu,
aten,linear,
aten,lt,
aten,max_pool2d,
aten,max_pool2d_with_indices,
aten,mean,keepdim=True required; max 2D reductions
aten,minimum,
aten,mm,
aten,native_group_norm,
aten,native_layer_norm,resize supported
aten,neg,
aten,ones,
aten,ones_like,
aten,permute,
aten,permute_copy,
aten,pow,
aten,relu,
aten,repeat,
aten,round,
aten,rsqrt,
aten,scalar_tensor,
aten,select_copy,
aten,sigmoid,
aten,sin,
aten,slice_copy,
aten,split,
aten,split_with_sizes_copy,
aten,sqrt,
aten,squeeze_copy,
aten,sub,
aten,sum,keepdim=True required; max 2D reductions
aten,t_copy,
aten,tanh,
aten,unsqueeze_copy,
aten,upsample_bilinear2d,
aten,upsample_nearest2d,
aten,view_copy,
aten,zeros,
aten,zeros_like,
aten,_assert_scalar,removed via graph pass
aten,sym_constrain_range_for_size,removed via graph pass
aten,sym_size,
dim_order_ops,_clone_dim_order,no dtype conversion; removable if no dtype change
dim_order_ops,_to_dim_order_copy,no dtype conversion; removable if no dtype change
llama,custom_sdpa,
llama,sdpa_with_kv_cache,
llama,update_cache,
operator,add,
operator,eq,
operator,ge,
operator,getitem,
operator,gt,
operator,le,
operator,lt,
quantized_decomposed,choose_qparams,
quantized_decomposed,choose_qparams_per_token_asymmetric,
quantized_decomposed,dequantize_per_channel,
quantized_decomposed,dequantize_per_tensor,
quantized_decomposed,dequantize_per_token,
quantized_decomposed,quantize_per_channel,
quantized_decomposed,quantize_per_tensor,
quantized_decomposed,quantize_per_token,
torchao,choose_qparams_affine,
torchao,dequantize_affine,
torchao,quantize_affine,
et_vk,add_q8ta_q8ta_q8to,no resize support
et_vk,apply_rotary_emb,
et_vk,conv2d_q8ta_q8csw_q8to,no resize support
et_vk,conv2d_q8ta_q8csw_q8to_dw,no resize support
et_vk,conv_with_clamp,batch=1 for 2D conv; no transposed 1D conv
et_vk,dequantize_q8to_from_conv2d,no resize support
et_vk,grid_priors,
et_vk,linear_dq8ca_q4gsw,
et_vk,linear_q4gsw,
et_vk,linear_q8ta_q8csw,
et_vk,linear_qcs4w,
et_vk,quantize_q8ta_for_conv2d,no resize support
